1980,207116
1981,159252
1982,98096
1983,61218
1984,70393
1985,67704
1986,62146
1987,64528
1988,76483
1989,107070
1990,122066
1991,113389
1992,115548
1993,114181
1994,111680
1995,98973
1996,75421
1997,69653
1998,76712
1999,85285
2000,72165
2001,68920
2002,26785
2003,28286
2004,52840
2005,53738
2006,41094
2007,48218
2008,60107
2009,74602
2010,73293
2011,56384
2012,58179
2013,69909
2014,69975
2015,69920
2016,84989
2017,53691
2018,22405
2019,29916
2020,11840
2021,11454