Year,Total,Affirmative,Defensive,
1990,"8,472 ","5,672","2,800",
1991,"5,035 ","2,908","2,127",
1992,"6,307 ","4,123","2,184",
1993,"9,543 ","7,509","2,034",
1994,"13,828 ","11,775","2,053",
1995,"20,703 ","17,573","3,130",
1996,"23,532 ","18,624","4,908",
1997,"22,939 ","16,380","6,559",
1998,"20,507 ","13,216","7,291",
1999,"26,571 ","18,150","8,421",
2000,"32,514 ","23,278","9,236",
2001,"39,148 ","29,147","10,001",
2002,"36,937 ","25,960","10,977",
2003,"28,743 ","15,367","13,376",
2004,"27,376 ","14,354","13,022",
2005,"25,304 ","13,547","11,757",
2006,"26,352 ","13,048","13,304",
2007,"25,318 ","12,459","12,859",
2008,"23,022 ","12,130","10,892",
2009,"22,303 ","12,003","10,300",
2010,"19,777 ","11,258","8,519",
2011,"23,631 ","13,493","10,138",
2012,"27,446 ","16,871","10,575",
2013,"24,657 ","14,890","9,767",
2014,"23,061 ","14,425","8,636",
2015,"25,947 ","17,807","8,140",
2016,"20,313 ","11,620","8,693",
2017,"26,380 ","15,815","10,565",
2018,"37,740 ","24,543","13,197",
2019,"45,888 ","26,979","18,909",
2020,"30,964 ","16,363","14,601",
2021,"17,692 ","10,325","7,367",
,,,,