1990,8472,5672,2800
1991,5035,2908,2127
1992,6307,4123,2184
1993,9543,7509,2034
1994,13828,11775,2053
1995,20703,17573,3130
1996,23532,18624,4908
1997,22939,16380,6559
1998,20507,13216,7291
1999,26571,18150,8421
2000,32514,23278,9236
2001,39148,29147,10001
2002,36937,25960,10977
2003,28743,15367,13376
2004,27376,14354,13022
2005,25304,13547,11757
2006,26352,13048,13304
2007,25318,12459,12859
2008,23022,12130,10892
2009,22303,12003,10300
2010,19777,11258,8519
2011,23631,13493,10138
2012,27446,16871,10575
2013,24657,14890,9767
2014,23061,14425,8636
2015,25947,17807,8140
2016,20313,11620,8693
2017,26380,15815,10565
2018,37740,24543,13197
2019,45888,26979,18909
2020,30964,16363,14601
2021,17692,10325,7367